x,y,w,h,aspect_ratio,ground_truth,predicted
130,59,59,59,1.0,right,center
43,69,55,55,1.0,left,center
130,60,57,57,1.0,right,center
42,69,54,54,1.0,left,center
41,69,54,54,1.0,left,center
130,59,56,56,1.0,right,center
134,62,52,52,1.0,right,center
45,71,52,52,1.0,left,center
43,70,54,54,1.0,left,center
133,62,54,54,1.0,right,center
132,61,57,57,1.0,right,center
45,71,54,54,1.0,left,center
43,69,51,51,1.0,left,center
129,58,56,56,1.0,right,center
136,64,53,53,1.0,right,center
47,70,55,55,1.0,left,center
40,67,55,55,1.0,left,center
131,60,55,55,1.0,right,center
133,59,55,55,1.0,right,center
42,66,57,57,1.0,left,center
88,50,82,82,1.0,center,center
132,61,57,57,1.0,right,center
42,68,58,58,1.0,left,center
134,62,55,55,1.0,right,center
45,70,57,57,1.0,left,center
134,60,60,60,1.0,right,center
48,73,52,52,1.0,left,center
132,61,55,55,1.0,right,center
42,67,58,58,1.0,left,center
98,32,86,86,1.0,center,center
111,40,72,72,1.0,right,center
39,62,55,55,1.0,left,center
127,55,55,55,1.0,right,center
39,60,59,59,1.0,left,center
132,58,55,55,1.0,right,center
42,63,60,60,1.0,left,center
126,53,58,58,1.0,right,right
41,63,56,56,1.0,left,right
125,53,57,57,1.0,right,right
37,60,59,59,1.0,left,center
125,50,56,56,1.0,right,center
37,61,53,53,1.0,left,center
129,59,55,55,1.0,right,center
41,67,54,54,1.0,left,center
132,55,57,57,1.0,right,center
46,67,53,53,1.0,left,center
42,66,50,50,1.0,left,center
125,55,54,54,1.0,right,center
123,52,57,57,1.0,right,center
40,66,49,49,1.0,left,center
37,64,51,51,1.0,left,center
121,52,55,55,1.0,right,center
127,56,52,52,1.0,right,center
97,50,64,64,1.0,center,center
42,66,51,51,1.0,left,center
129,61,41,41,1.0,right,right
44,73,41,41,1.0,left,center
112,41,69,69,1.0,right,center
111,48,59,59,1.0,right,center
118,54,48,48,1.0,right,center
116,54,50,50,1.0,right,center
41,66,42,42,1.0,left,center
42,67,40,40,1.0,left,center
117,56,48,48,1.0,right,center
118,55,46,46,1.0,right,center
42,66,40,40,1.0,left,center
63,72,28,28,1.0,center,center
111,53,48,48,1.0,right,center
41,64,39,39,1.0,left,center
105,48,47,47,1.0,right,center
31,56,44,44,1.0,left,center
108,53,44,44,1.0,right,center
32,61,42,42,1.0,left,center
32,57,37,37,1.0,left,right
101,46,43,43,1.0,right,center
30,54,41,41,1.0,left,center
101,47,42,42,1.0,right,center
100,50,41,41,1.0,right,center
36,62,33,33,1.0,left,center
30,57,36,36,1.0,left,center
98,46,40,40,1.0,right,center
33,58,36,36,1.0,left,center
96,48,39,39,1.0,right,center
33,58,36,36,1.0,left,right
98,47,42,42,1.0,right,center
36,57,33,33,1.0,left,right
99,47,39,39,1.0,right,center
32,55,36,36,1.0,left,center
95,46,39,39,1.0,right,center
29,55,38,38,1.0,left,center
95,48,39,39,1.0,right,center
97,50,37,37,1.0,right,center
31,55,38,38,1.0,left,center
97,49,37,37,1.0,right,center
29,54,40,40,1.0,left,center
92,48,35,35,1.0,right,center
26,53,38,38,1.0,left,center
27,52,40,40,1.0,left,center
94,49,35,35,1.0,right,center
96,49,37,37,1.0,right,center
30,54,39,39,1.0,left,center
95,48,36,36,1.0,right,center
29,53,38,38,1.0,left,center
94,47,34,34,1.0,right,center
29,53,35,35,1.0,left,center
29,52,35,35,1.0,left,center
93,45,37,37,1.0,right,center
96,50,36,36,1.0,right,center
29,52,40,40,1.0,left,center
30,52,37,37,1.0,left,center
96,47,38,38,1.0,right,center
28,52,38,38,1.0,left,center
94,48,36,36,1.0,right,center
32,56,34,34,1.0,left,center
94,47,40,40,1.0,right,center
31,54,38,38,1.0,left,center
97,48,38,38,1.0,right,center
100,52,34,34,1.0,right,center
28,51,43,43,1.0,left,center
31,55,36,36,1.0,left,center
95,50,35,35,1.0,right,center
39,61,27,27,1.0,left,center
100,51,37,37,1.0,right,center
105,53,42,42,1.0,right,center
36,64,34,34,1.0,left,center
19,46,57,57,1.0,left,center
44,67,26,26,1.0,left,center
107,55,41,41,1.0,right,center
32,58,39,39,1.0,left,center
104,53,42,42,1.0,right,center
49,75,38,38,1.0,left,center
124,62,48,48,1.0,right,center
50,80,33,33,1.0,left,center
122,62,53,53,1.0,right,center
49,77,39,39,1.0,left,center
127,68,45,45,1.0,right,center
126,64,47,47,1.0,right,center
52,80,32,32,1.0,left,center
128,64,46,46,1.0,right,center
46,71,43,43,1.0,left,center
128,59,53,53,1.0,right,center
49,75,39,39,1.0,left,center
130,64,48,48,1.0,right,center
48,74,41,41,1.0,left,center
130,64,50,50,1.0,right,center
51,79,38,38,1.0,left,center
131,64,49,49,1.0,right,center
48,74,42,42,1.0,left,center
127,60,54,54,1.0,right,center
46,73,44,44,1.0,left,center
137,72,52,52,1.0,right,center
133,66,48,48,1.0,right,center
45,76,44,44,1.0,left,center
129,62,49,49,1.0,right,center
131,65,53,53,1.0,right,center
44,75,48,48,1.0,left,center
50,76,42,42,1.0,left,center
132,64,51,51,1.0,right,center
129,61,50,50,1.0,right,center
49,78,35,35,1.0,left,center
126,58,55,55,1.0,right,center
49,78,36,36,1.0,left,center
126,56,58,58,1.0,right,center
130,62,51,51,1.0,right,center
47,77,40,40,1.0,left,center
132,64,53,53,1.0,right,center
48,78,42,42,1.0,left,center
48,80,40,40,1.0,left,center
130,60,55,55,1.0,right,center
53,84,34,34,1.0,left,center
129,60,58,58,1.0,right,center
131,62,54,54,1.0,right,center
32,49,79,79,1.0,left,center
133,64,52,52,1.0,right,center
47,78,45,45,1.0,left,center
131,61,55,55,1.0,right,center
132,62,56,56,1.0,right,center
57,85,30,30,1.0,left,center
134,64,51,51,1.0,right,center
134,63,53,53,1.0,right,center
124,55,61,61,1.0,right,center
42,72,50,50,1.0,left,center
134,67,51,51,1.0,right,center
45,77,50,50,1.0,left,center
45,59,72,72,1.0,left,center
46,77,43,43,1.0,left,center
128,64,52,52,1.0,right,center
127,61,55,55,1.0,right,center
39,68,56,56,1.0,left,center
42,69,51,51,1.0,left,center
127,58,56,56,1.0,right,center
129,64,48,48,1.0,right,center
45,71,46,46,1.0,left,center
44,72,39,39,1.0,left,center
123,55,54,54,1.0,right,center
26,46,75,75,1.0,left,center
47,76,41,41,1.0,left,center
129,60,54,54,1.0,right,center
128,60,53,53,1.0,right,center
41,68,51,51,1.0,left,center
43,69,47,47,1.0,left,center
126,56,56,56,1.0,right,center
128,62,47,47,1.0,right,center
40,69,48,48,1.0,left,center
129,64,50,50,1.0,right,center
45,75,43,43,1.0,left,right
