x,y,w,h,aspect_ratio,ground_truth,predicted
69,166,50,50,1.0,center,center
57,65,50,50,1.0,left,center
75,184,25,25,1.0,center,center
143,66,54,54,1.0,right,center
60,68,49,49,1.0,center,center
149,69,53,53,1.0,right,center
57,64,49,49,1.0,left,center
146,64,55,55,1.0,right,center
79,175,39,39,1.0,center,center
55,65,50,50,1.0,left,center
143,65,55,55,1.0,right,center
68,169,50,50,1.0,center,center
54,65,52,52,1.0,left,center
144,66,55,55,1.0,right,center
74,172,47,47,1.0,center,right
135,63,54,54,1.0,right,center
68,171,39,39,1.0,center,center
46,61,52,52,1.0,left,center
89,183,25,25,1.0,center,center
147,67,52,52,1.0,right,center
56,66,50,50,1.0,left,center
50,62,49,49,1.0,left,center
76,178,22,22,1.0,center,center
84,177,26,26,1.0,center,center
139,61,55,55,1.0,right,center
142,62,54,54,1.0,right,center
52,63,50,50,1.0,left,center
52,61,51,51,1.0,left,center
142,60,55,55,1.0,right,center
50,64,51,51,1.0,left,center
141,61,56,56,1.0,right,center
52,63,50,50,1.0,left,center
142,61,56,56,1.0,right,center
51,65,50,50,1.0,left,center
141,61,56,56,1.0,right,center
139,60,55,55,1.0,right,center
50,65,49,49,1.0,left,center
142,60,55,55,1.0,right,center
52,64,49,49,1.0,left,center
51,66,48,48,1.0,left,center
137,60,56,56,1.0,right,center
137,61,54,54,1.0,right,center
50,66,47,47,1.0,left,center
46,67,49,49,1.0,left,center
134,61,56,56,1.0,right,center
54,68,47,47,1.0,left,center
140,62,56,56,1.0,right,center
52,68,47,47,1.0,left,center
139,61,54,54,1.0,right,center
51,65,48,48,1.0,left,center
136,57,57,57,1.0,right,center
49,65,47,47,1.0,left,center
133,57,55,55,1.0,right,center
129,58,53,53,1.0,right,center
46,65,47,47,1.0,left,center
136,59,54,54,1.0,right,center
51,66,46,46,1.0,left,center
51,66,48,48,1.0,left,center
136,59,54,54,1.0,right,center
86,172,26,26,1.0,center,center
50,65,47,47,1.0,left,center
133,56,54,54,1.0,right,center
134,61,53,53,1.0,right,center
52,69,45,45,1.0,left,center
116,50,66,66,1.0,right,center
49,62,55,55,1.0,left,center
82,173,25,25,1.0,center,center
122,56,59,59,1.0,right,center
